0,0
1,417
2,575
3,758
4,254
5,909
6,610
7,269
8,587
9,481
10,640
11,397
12,670
13,700
14,520
15,181
16,719
17,430
18,393
19,1116
20,648
21,483
22,420
23,521
24,184
25,458
26,967
27,1205
28,1176
29,494
30,621
31,500
32,405
33,172
34,64
35,328
36,100
37,347
38,139
39,44
40,25
41,12
42,38
43,17
44,2
45,1
46,2
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
